,time,platform,passengers
95,2026-05-19 08:53:32,2,409
96,2026-05-19 08:55:13,1,820
97,2026-05-19 08:57:15,2,445
98,2026-05-19 08:59:18,1,858
99,2026-05-19 08:59:52,2,381
100,2026-05-19 09:02:33,1,743
101,2026-05-19 09:03:15,2,529
102,2026-05-19 09:06:01,1,748
103,2026-05-19 09:06:05,2,374
104,2026-05-19 09:09:17,2,565
105,2026-05-19 09:09:34,1,855
106,2026-05-19 09:12:34,2,497
107,2026-05-19 09:13:05,1,893
108,2026-05-19 09:15:45,2,433
109,2026-05-19 09:16:44,1,895
110,2026-05-19 09:18:42,2,534
111,2026-05-19 09:19:44,1,662
112,2026-05-19 09:21:45,2,431
113,2026-05-19 09:23:11,1,707
114,2026-05-19 09:24:36,2,427
115,2026-05-19 09:25:24,1,629
116,2026-05-19 09:27:40,2,401
117,2026-05-19 09:28:47,1,800
118,2026-05-19 09:31:18,2,592
119,2026-05-19 09:31:44,1,746
120,2026-05-19 09:34:51,2,560
121,2026-05-19 09:35:12,1,723
122,2026-05-19 09:38:21,1,656
123,2026-05-19 09:39:06,2,612
124,2026-05-19 09:40:44,1,571
125,2026-05-19 09:42:53,2,644
126,2026-05-19 09:44:01,1,707
127,2026-05-19 09:47:45,2,485
128,2026-05-19 09:48:00,1,705
129,2026-05-19 09:51:08,2,514
130,2026-05-19 09:51:59,1,737
131,2026-05-19 09:55:24,2,496
132,2026-05-19 09:56:05,1,773
133,2026-05-19 09:59:32,1,765
134,2026-05-19 10:00:24,2,409
135,2026-05-19 10:02:51,1,523
136,2026-05-19 10:04:49,2,313
137,2026-05-19 10:07:20,1,483
138,2026-05-19 10:08:01,2,241
139,2026-05-19 10:10:31,1,295
140,2026-05-19 10:13:17,2,414
141,2026-05-19 10:15:20,1,439
142,2026-05-19 10:19:23,2,351
143,2026-05-19 10:20:21,1,391
144,2026-05-19 10:24:10,2,254
145,2026-05-19 10:26:14,1,437
146,2026-05-19 10:29:07,2,265
147,2026-05-19 10:30:59,1,330
148,2026-05-19 10:33:58,2,176
149,2026-05-19 10:36:11,1,256
150,2026-05-19 10:38:19,2,147
151,2026-05-19 10:42:13,1,219
152,2026-05-19 10:43:17,2,173
153,2026-05-19 10:47:05,2,117
154,2026-05-19 10:48:43,1,305
155,2026-05-19 10:52:47,2,166
156,2026-05-19 10:55:09,1,254
157,2026-05-19 10:58:14,2,197
158,2026-05-19 11:01:03,1,266
159,2026-05-19 11:04:52,2,255
160,2026-05-19 11:08:07,1,334
161,2026-05-19 11:10:28,2,230
162,2026-05-19 11:14:32,1,361
163,2026-05-19 11:16:41,2,299
164,2026-05-19 11:22:04,1,260
165,2026-05-19 11:23:45,2,391
166,2026-05-19 11:27:33,1,302
167,2026-05-19 11:30:03,2,411
168,2026-05-19 11:35:28,1,441
169,2026-05-19 11:36:41,2,400
170,2026-05-19 11:43:51,2,438
171,2026-05-19 11:44:14,1,389
172,2026-05-19 11:51:31,2,589
173,2026-05-19 11:52:07,1,451
174,2026-05-19 11:57:10,2,329
175,2026-05-19 12:00:31,1,455
176,2026-05-19 12:04:01,2,387
177,2026-05-19 12:08:19,1,465
178,2026-05-19 12:10:53,2,494
179,2026-05-19 12:15:20,1,417
180,2026-05-19 12:16:59,2,401
181,2026-05-19 12:22:31,1,504
182,2026-05-19 12:25:43,2,472
183,2026-05-19 12:29:26,1,567
184,2026-05-19 12:34:31,2,522
185,2026-05-19 12:35:48,1,413
186,2026-05-19 12:40:17,2,463
187,2026-05-19 12:43:26,1,622
188,2026-05-19 12:48:47,2,676
189,2026-05-19 12:51:10,1,440
190,2026-05-19 12:56:44,2,546
191,2026-05-19 12:59:19,1,617
192,2026-05-19 13:02:22,2,415
193,2026-05-19 13:07:57,1,538
194,2026-05-19 13:11:27,2,624
195,2026-05-19 13:15:39,1,555
196,2026-05-19 13:18:07,2,393
197,2026-05-19 13:22:39,1,361
198,2026-05-19 13:24:43,2,499
199,2026-05-19 13:28:33,1,381
200,2026-05-19 13:30:25,2,368
201,2026-05-19 13:35:58,1,548
202,2026-05-19 13:37:14,2,459
203,2026-05-19 13:42:57,1,437
204,2026-05-19 13:44:51,2,431
205,2026-05-19 13:50:50,1,503
206,2026-05-19 13:51:42,2,411
207,2026-05-19 13:56:45,1,375
208,2026-05-19 13:58:01,2,465
209,2026-05-19 14:03:44,1,415
210,2026-05-19 14:04:45,2,340
211,2026-05-19 14:11:04,1,461
212,2026-05-19 14:12:52,2,434
213,2026-05-19 14:20:14,1,395
214,2026-05-19 14:21:20,2,421
215,2026-05-19 14:25:02,2,281
216,2026-05-19 14:28:04,1,305
217,2026-05-19 14:33:37,1,363
218,2026-05-19 14:34:24,2,508
219,2026-05-19 14:39:41,1,318
220,2026-05-19 14:42:06,2,378
221,2026-05-19 14:46:04,1,365
222,2026-05-19 14:47:51,2,305
223,2026-05-19 14:52:51,1,341
224,2026-05-19 14:54:44,2,318
225,2026-05-19 14:59:49,1,413
226,2026-05-19 15:01:53,2,334
227,2026-05-19 15:05:27,1,205
228,2026-05-19 15:09:50,2,388
229,2026-05-19 15:11:46,1,240
230,2026-05-19 15:16:18,2,248
231,2026-05-19 15:17:45,1,161
232,2026-05-19 15:21:29,2,207
233,2026-05-19 15:24:48,1,311
234,2026-05-19 15:28:50,2,194
235,2026-05-19 15:31:28,1,260
236,2026-05-19 15:35:18,2,265
237,2026-05-19 15:39:55,1,344
238,2026-05-19 15:43:15,2,249
239,2026-05-19 15:47:07,1,225
240,2026-05-19 15:48:11,2,149
241,2026-05-19 15:53:13,1,212
242,2026-05-19 15:55:00,2,262
243,2026-05-19 15:59:27,1,150
244,2026-05-19 16:02:00,2,272
245,2026-05-19 16:02:52,1,113
246,2026-05-19 16:07:59,1,198
247,2026-05-19 16:08:41,2,279
248,2026-05-19 16:14:18,1,266
249,2026-05-19 16:14:18,2,295
250,2026-05-19 16:17:53,1,162
251,2026-05-19 16:19:04,2,295
252,2026-05-19 16:22:48,2,246
253,2026-05-19 16:23:02,1,269
254,2026-05-19 16:26:57,2,381
255,2026-05-19 16:27:13,1,164
256,2026-05-19 16:31:10,2,367
257,2026-05-19 16:31:30,1,423
258,2026-05-19 16:34:57,2,333
259,2026-05-19 16:35:07,1,250
260,2026-05-19 16:38:37,2,399
261,2026-05-19 16:38:45,1,271
262,2026-05-19 16:42:18,2,632
263,2026-05-19 16:43:09,1,340
264,2026-05-19 16:45:58,2,552
265,2026-05-19 16:46:45,1,446
266,2026-05-19 16:49:39,2,696
267,2026-05-19 16:50:13,1,468
268,2026-05-19 16:52:44,2,492
269,2026-05-19 16:54:02,1,571
270,2026-05-19 16:56:04,2,645
271,2026-05-19 16:57:00,1,363
272,2026-05-19 16:59:00,2,705
273,2026-05-19 17:00:21,1,495
274,2026-05-19 17:02:57,2,836
275,2026-05-19 17:03:43,1,388
276,2026-05-19 17:06:11,2,807
277,2026-05-19 17:07:58,1,611
278,2026-05-19 17:09:48,2,743
279,2026-05-19 17:11:45,1,636
280,2026-05-19 17:13:04,2,759
281,2026-05-19 17:14:56,1,468
282,2026-05-19 17:16:21,2,658
283,2026-05-19 17:18:17,1,467
284,2026-05-19 17:19:25,2,706
285,2026-05-19 17:21:01,1,414
286,2026-05-19 17:22:24,2,720
287,2026-05-19 17:24:35,2,527
288,2026-05-19 17:24:50,1,627
289,2026-05-19 17:28:19,2,855
290,2026-05-19 17:28:38,1,539
291,2026-05-19 17:30:52,2,814
292,2026-05-19 17:31:49,1,470
293,2026-05-19 17:33:54,2,823
294,2026-05-19 17:34:35,1,395
295,2026-05-19 17:36:58,2,750
296,2026-05-19 17:37:27,1,482
297,2026-05-19 17:38:59,2,625
298,2026-05-19 17:41:05,1,656
299,2026-05-19 17:41:55,2,681
300,2026-05-19 17:44:30,1,577
301,2026-05-19 17:45:51,2,761
302,2026-05-19 17:48:18,1,513
303,2026-05-19 17:48:37,2,799
304,2026-05-19 17:50:53,1,452
305,2026-05-19 17:51:09,2,655
306,2026-05-19 17:53:31,1,354
307,2026-05-19 17:54:36,2,914
308,2026-05-19 17:57:10,1,622
309,2026-05-19 17:57:45,2,646
310,2026-05-19 17:59:29,1,342
311,2026-05-19 18:01:03,2,857
312,2026-05-19 18:02:41,1,417
313,2026-05-19 18:04:41,2,852
314,2026-05-19 18:06:37,1,619
315,2026-05-19 18:07:25,2,688
316,2026-05-19 18:09:52,1,448
317,2026-05-19 18:11:25,2,955
318,2026-05-19 18:14:01,1,518
319,2026-05-19 18:15:02,2,633
320,2026-05-19 18:17:55,1,438
321,2026-05-19 18:18:41,2,736
322,2026-05-19 18:21:10,1,467
323,2026-05-19 18:21:38,2,749
324,2026-05-19 18:24:26,2,686
325,2026-05-19 18:24:28,1,516
326,2026-05-19 18:27:41,2,855
327,2026-05-19 18:28:18,1,482
328,2026-05-19 18:30:35,2,784
329,2026-05-19 18:31:45,1,460
330,2026-05-19 18:34:25,2,850
331,2026-05-19 18:34:31,1,367
332,2026-05-19 18:37:45,2,924
333,2026-05-19 18:38:20,1,493
334,2026-05-19 18:41:40,2,795
335,2026-05-19 18:41:56,1,538
336,2026-05-19 18:44:02,2,641
337,2026-05-19 18:45:43,1,584
338,2026-05-19 18:47:50,2,926
339,2026-05-19 18:48:51,1,479
340,2026-05-19 18:52:29,2,770
341,2026-05-19 18:52:39,1,527
342,2026-05-19 18:55:00,2,567
343,2026-05-19 18:56:28,1,471
344,2026-05-19 18:59:40,2,846
345,2026-05-19 18:59:42,1,446
346,2026-05-19 19:03:26,2,691
347,2026-05-19 19:03:30,1,342
348,2026-05-19 19:06:07,1,366
349,2026-05-19 19:07:27,2,720
350,2026-05-19 19:10:15,1,429
351,2026-05-19 19:11:56,2,699
352,2026-05-19 19:14:01,1,465
353,2026-05-19 19:17:16,2,745
354,2026-05-19 19:18:13,1,443
355,2026-05-19 19:22:07,2,642
356,2026-05-19 19:23:13,1,468
357,2026-05-19 19:27:31,2,667
358,2026-05-19 19:28:06,1,425
359,2026-05-19 19:32:23,2,501
360,2026-05-19 19:33:20,1,392
361,2026-05-19 19:38:55,2,724
362,2026-05-19 19:39:51,1,465
363,2026-05-19 19:43:33,2,415
364,2026-05-19 19:47:03,1,359
365,2026-05-19 19:49:22,2,507
366,2026-05-19 19:54:01,1,343
367,2026-05-19 19:55:02,2,642
368,2026-05-19 20:01:29,1,389
369,2026-05-19 20:03:05,2,483
370,2026-05-19 20:09:20,1,228
371,2026-05-19 20:11:24,2,507
372,2026-05-19 20:17:23,1,232
373,2026-05-19 20:17:29,2,336
374,2026-05-19 20:22:56,2,278
375,2026-05-19 20:24:56,1,217
376,2026-05-19 20:29:32,2,376
377,2026-05-19 20:32:31,1,173
378,2026-05-19 20:36:14,2,250
379,2026-05-19 20:38:31,1,138
380,2026-05-19 20:44:55,2,299
381,2026-05-19 20:46:32,1,150
382,2026-05-19 20:51:45,2,178
383,2026-05-19 20:52:05,1,122
384,2026-05-19 20:58:16,2,235
385,2026-05-19 20:58:52,1,141
386,2026-05-19 21:05:10,2,287
387,2026-05-19 21:06:37,1,129
388,2026-05-19 21:12:15,2,205
389,2026-05-19 21:13:49,1,106
390,2026-05-19 21:21:10,2,227
391,2026-05-19 21:22:36,1,124
392,2026-05-19 21:29:32,2,234
393,2026-05-19 21:30:13,1,101
394,2026-05-19 21:34:45,1,69
395,2026-05-19 21:35:57,2,139
396,2026-05-19 21:42:49,1,124
397,2026-05-19 21:43:07,2,188
398,2026-05-19 21:48:22,1,57
399,2026-05-19 21:50:14,2,181
400,2026-05-19 21:55:55,1,87
401,2026-05-19 21:57:52,2,146
402,2026-05-19 22:03:28,1,95
403,2026-05-19 22:05:20,2,156
404,2026-05-19 22:10:34,1,44
405,2026-05-19 22:11:45,2,126
406,2026-05-19 22:17:44,2,117
407,2026-05-19 22:17:52,1,62
408,2026-05-19 22:23:00,2,110
409,2026-05-19 22:25:11,1,102
410,2026-05-19 22:29:49,2,165
411,2026-05-19 22:30:31,1,52
412,2026-05-19 22:38:29,2,137
413,2026-05-19 22:38:52,1,88
414,2026-05-19 22:43:53,2,112
415,2026-05-19 22:46:44,1,70
416,2026-05-19 22:50:22,2,135
417,2026-05-19 22:54:33,1,68
418,2026-05-19 22:57:47,2,116
419,2026-05-19 23:00:53,1,51
420,2026-05-19 23:04:47,2,110
421,2026-05-19 23:08:05,1,48
422,2026-05-19 23:10:45,2,110
423,2026-05-19 23:13:16,1,52
424,2026-05-19 23:16:21,2,92
425,2026-05-19 23:21:11,1,59
426,2026-05-19 23:24:03,2,118
427,2026-05-19 23:27:18,1,55
428,2026-05-19 23:32:11,2,136
429,2026-05-19 23:35:07,1,61
430,2026-05-19 23:38:59,2,78
431,2026-05-19 23:42:04,1,36
432,2026-05-19 23:45:25,2,90
433,2026-05-19 23:49:17,1,41
434,2026-05-19 23:51:19,2,74
435,2026-05-19 23:56:44,1,52
